participant;condition;layout;chats;part;topic;last_response_time
20;B;2;3;3;Cheerleadingin kilpailusäännöt;2,46
20;B;2;3;3;Painepesuri;17,21
20;B;2;3;3;Päältäajettava ruohonleikkuri;10,39
20;C;1;4;1;Jalkapallosäännöt;2,23
20;C;1;4;1;Agility;10,10
20;D;2;4;2;Kamiina;2,89
20;D;2;4;2;Generaattori;13,37
20;D;2;4;2;Mankeli;26,07
21;A;1;3;3;Astianpesukone;4,22
21;A;1;3;3;Mikroaaltouuni;3,00
21;B;2;3;2;Taekwondon kilpailusäännöt;2,33
21;B;2;3;2;Kuivauskaappi;6,46
21;B;2;3;2;Kamiina;18,28
21;C;1;4;4;Tenniksen kilpailumääräykset;13,38
21;C;1;4;4;Grilli;2,12
21;D;2;4;1;Cheerleadingin kilpailusäännöt;31,74
21;D;2;4;1;Lämpöpumppu;32,32
21;D;2;4;1;Mankeli;47,49
22;A;1;3;3;Agility;1,73
22;A;1;3;3;Ompelukone;1,81
22;B;2;3;4;Generaattori;1,85
22;B;2;3;4;Grilli;2,35
22;C;1;4;2;Cheerleadingin kilpailusäännöt;50,99
22;C;1;4;2;Miekkailu;3,62
22;C;1;4;2;Lämpöpumppu;9,11
22;C;1;4;2;Painepesuri;2,40
22;D;2;4;1;Päältäajettava ruohonleikkuri;14,14
23;A;1;3;1;Arkkupakastin;13,03
23;A;1;3;1;Tenniksen kilpailumääräykset;1,90
23;B;2;3;4;Cheerleadingin kilpailusäännöt;4,14
23;B;2;3;4;Painepesuri;2,14
23;B;2;3;4;Kamiina;21,31
23;C;1;4;3;Agility;10,52
23;C;1;4;3;Pöytätenniksen säännöt;13,88
23;C;1;4;3;Mankeli;6,02
23;C;1;4;3;Ompelukone;3,52
23;D;2;4;2;Päältäajettava ruohonleikkuri;22,02
23;D;2;4;2;Mikroaaltouuni;6,13
23;D;2;4;2;Pyykinpesukone;39,89
23;D;2;4;2;Koripallon pelisäännöt;14,69
24;A;1;3;2;Generaattori;1,41
24;A;1;3;2;Pöytätenniksen säännöt;1,79
24;A;1;3;2;Ompelukone;1,74
24;B;2;3;3;Mikroaaltouuni;14,81
24;B;2;3;3;Astianpesukone;2,73
24;B;2;3;3;Painepesuri;12,88
24;D;2;4;4;Kuivauskaappi;3,43
24;D;2;4;4;Taekwondon kilpailusäännöt;11,97
