participant;condition;layout;chats;part;topic;first_response_time
15;D;2;4;2;Liesituuletin;12,99
15;D;2;4;2;Agility;4,83
15;D;2;4;2;Cheerleadingin kilpailusäännöt;8,65
16;A;1;3;4;Jalkapallosäännöt;1,89
16;A;1;3;4;Mankeli;1,55
16;A;1;3;4;Astianpesukone;5,62
16;A;1;3;4;Taekwondon kilpailusäännöt;1,73
16;A;1;3;4;Kuivauskaappi;1,66
16;A;1;3;4;Jääkaappi;2,15
16;B;2;3;1;Liesituuletin;1,85
16;B;2;3;1;Mikroaaltouuni;2,12
16;B;2;3;1;Pöytätenniksen säännöt;2,78
16;B;2;3;1;Langattomat Bluetooth-kuulokkeet;3,10
16;B;2;3;1;Ompelukone;37,66
16;C;1;4;3;Kuivausrumpu;2,00
16;C;1;4;3;Päältäajettava ruohonleikkuri;1,31
16;C;1;4;3;Agility;2,03
16;C;1;4;3;Arkkupakastin;97,34
16;C;1;4;3;Televisio;5,06
16;C;1;4;3;Miekkailu;2,48
16;C;1;4;3;Lämpöpumppu;2,09
16;C;1;4;3;Koripallon pelisäännöt;40,69
16;D;2;4;2;Tenniksen kilpailumääräykset;1,89
16;D;2;4;2;Generaattori;2,29
16;D;2;4;2;Cheerleadingin kilpailusäännöt;20,10
16;D;2;4;2;Nelikopteri;11,29
16;D;2;4;2;Grilli;17,68
17;A;1;3;2;Nelikopteri;2,30
17;A;1;3;2;Miekkailu;1,99
17;A;1;3;2;Liesituuletin;2,74
17;A;1;3;2;Agility;1,84
17;A;1;3;2;Kuivauskaappi;2,14
17;A;1;3;2;Langattomat Bluetooth-kuulokkeet;2,79
17;B;2;3;4;Ompelukone;2,01
17;B;2;3;4;Kuivausrumpu;4,13
17;B;2;3;4;Mankeli;2,12
17;B;2;3;4;Tenniksen kilpailumääräykset;20,16
17;B;2;3;4;Kamiina;2,25
17;B;2;3;4;Arkkupakastin;11,99
17;C;1;4;1;Cheerleadingin kilpailusäännöt;2,80
17;C;1;4;1;Jalkapallosäännöt;8,55
17;C;1;4;1;Painepesuri;1,60
17;C;1;4;1;Lämpöpumppu;5,74
17;C;1;4;1;Uuni;6,87
17;C;1;4;1;Koripallon pelisäännöt;4,86
17;D;2;4;3;Päältäajettava ruohonleikkuri;2,44
17;D;2;4;3;Jääkaappi;2,49
17;D;2;4;3;Pyykinpesukone;3,61
17;D;2;4;3;Astianpesukone;2,99
17;D;2;4;3;Grilli;8,93
17;D;2;4;3;Generaattori;3,08
18;A;1;3;3;Kiuas;2,99
18;A;1;3;3;Agility;1,78
18;A;1;3;3;Arkkupakastin;1,89
18;A;1;3;3;Taekwondon kilpailusäännöt;9,81
18;A;1;3;3;Pyykinpesukone;2,72
18;A;1;3;3;Lämpöpumppu;2,19
18;B;2;3;2;Tenniksen kilpailumääräykset;2,29
18;B;2;3;2;Nelikopteri;22,90
18;B;2;3;2;Kuivauskaappi;14,89
18;B;2;3;2;Jääkaappi;2,53
18;B;2;3;2;Painepesuri;2,82
18;C;1;4;1;Miekkailu;2,99
18;C;1;4;1;Generaattori;1,87
18;C;1;4;1;Päältäajettava ruohonleikkuri;15,96
18;C;1;4;1;Kamiina;6,98
18;C;1;4;1;Kuivausrumpu;3,44
18;D;2;4;4;Jalkapallosäännöt;3,80
18;D;2;4;4;Langattomat Bluetooth-kuulokkeet;2,70
18;D;2;4;4;Ompelukone;23,30
18;D;2;4;4;Mikroaaltouuni;14,88
18;D;2;4;4;Astianpesukone;50,49
19;A;1;3;4;Televisio;1,59
19;A;1;3;4;Grilli;1,24
19;A;1;3;4;Ompelukone;1,86
19;A;1;3;4;Taekwondon kilpailusäännöt;2,14
19;A;1;3;4;Agility;1,53
19;A;1;3;4;Painepesuri;1,70
19;B;2;3;2;Nelikopteri;1,85
19;B;2;3;2;Arkkupakastin;3,82
19;B;2;3;2;Kiuas;1,89
19;B;2;3;2;Langattomat Bluetooth-kuulokkeet;2,05
19;C;1;4;1;Lämpöpumppu;2,71
19;C;1;4;1;Jääkaappi;1,78
19;C;1;4;1;Jalkapallosäännöt;1,49
19;C;1;4;1;Pyykinpesukone;3,27
19;D;2;4;3;Cheerleadingin kilpailusäännöt;1,72
19;D;2;4;3;Kamiina;2,51
19;D;2;4;3;Koripallon pelisäännöt;1,77
19;D;2;4;3;Päältäajettava ruohonleikkuri;2,06
20;A;1;3;4;Langattomat Bluetooth-kuulokkeet;3,58
20;A;1;3;4;Taekwondon kilpailusäännöt;1,79
20;A;1;3;4;Nelikopteri;2,22
20;A;1;3;4;Tenniksen kilpailumääräykset;2,75
20;A;1;3;4;Astianpesukone;19,51
20;A;1;3;4;Ompelukone;3,10
20;B;2;3;3;Miekkailu;2,42
20;B;2;3;3;Cheerleadingin kilpailusäännöt;4,22
20;B;2;3;3;Painepesuri;27,13
20;B;2;3;3;Uuni;2,96
20;B;2;3;3;Päältäajettava ruohonleikkuri;2,85
20;B;2;3;3;Grilli;11,10
20;C;1;4;1;Lämpöpumppu;3,12
20;C;1;4;1;Jääkaappi;2,85
20;C;1;4;1;Jalkapallosäännöt;2,84
20;C;1;4;1;Agility;2,52
20;C;1;4;1;Kuivauskaappi;2,96
20;C;1;4;1;Mikroaaltouuni;32,58
20;D;2;4;2;Kamiina;2,70
20;D;2;4;2;Generaattori;3,46
20;D;2;4;2;Liesituuletin;2,49
20;D;2;4;2;Mankeli;14,02
20;D;2;4;2;Pyykinpesukone;6,04
20;D;2;4;2;Televisio;17,47
20;D;2;4;2;Pöytätenniksen säännöt;6,96
21;A;1;3;3;Astianpesukone;2,31
21;A;1;3;3;Liesituuletin;2,16
21;A;1;3;3;Mikroaaltouuni;1,51
21;A;1;3;3;Pöytätenniksen säännöt;1,52
21;A;1;3;3;Nelikopteri;2,07
21;B;2;3;2;Taekwondon kilpailusäännöt;2,54
21;B;2;3;2;Kuivauskaappi;2,03
21;B;2;3;2;Kamiina;1,76
21;B;2;3;2;Koripallon pelisäännöt;41,78
21;B;2;3;2;Langattomat Bluetooth-kuulokkeet;3,42
21;B;2;3;2;Agility;11,07
21;C;1;4;4;Tenniksen kilpailumääräykset;2,69
21;C;1;4;4;Grilli;2,07
21;C;1;4;4;Televisio;2,33
21;C;1;4;4;Jääkaappi;6,86
21;C;1;4;4;Miekkailu;1,78
21;C;1;4;4;Pyykinpesukone;34,79
21;D;2;4;1;Cheerleadingin kilpailusäännöt;2,96
21;D;2;4;1;Lämpöpumppu;6,79
21;D;2;4;1;Mankeli;3,48
21;D;2;4;1;Generaattori;198,93
21;D;2;4;1;Painepesuri;26,07
22;A;1;3;3;Agility;2,51
22;A;1;3;3;Ompelukone;1,61
22;A;1;3;3;Uuni;10,48
22;A;1;3;3;Kiuas;1,71
22;A;1;3;3;Jääkaappi;1,71
22;B;2;3;4;Nelikopteri;2,16
22;B;2;3;4;Generaattori;1,76
22;B;2;3;4;Grilli;2,94
22;B;2;3;4;Langattomat Bluetooth-kuulokkeet;1,75
22;B;2;3;4;Kamiina;1,54
22;C;1;4;2;Cheerleadingin kilpailusäännöt;2,22
22;C;1;4;2;Miekkailu;4,16
22;C;1;4;2;Lämpöpumppu;9,28
22;C;1;4;2;Painepesuri;2,30
22;C;1;4;2;Tenniksen kilpailumääräykset;2,26
22;C;1;4;2;Arkkupakastin;29,12
22;C;1;4;2;Pöytätenniksen säännöt;17,03
22;C;1;4;2;Koripallon pelisäännöt;6,37
22;D;2;4;1;Liesituuletin;2,63
22;D;2;4;1;Päältäajettava ruohonleikkuri;6,90
22;D;2;4;1;Televisio;2,90
22;D;2;4;1;Kuivausrumpu;2,96
22;D;2;4;1;Mikroaaltouuni;61,03
23;A;1;3;1;Arkkupakastin;3,12
23;A;1;3;1;Tenniksen kilpailumääräykset;2,87
23;A;1;3;1;Nelikopteri;4,73
23;A;1;3;1;Jääkaappi;20,40
23;A;1;3;1;Astianpesukone;2,22
23;B;2;3;4;Cheerleadingin kilpailusäännöt;2,08
23;B;2;3;4;Painepesuri;17,26
23;B;2;3;4;Kamiina;8,68
23;B;2;3;4;Generaattori;1,99
23;B;2;3;4;Taekwondon kilpailusäännöt;40,71
23;B;2;3;4;Jalkapallosäännöt;6,06
23;C;1;4;3;Agility;2,34
23;C;1;4;3;Pöytätenniksen säännöt;1,49
23;C;1;4;3;Mankeli;8,49
23;C;1;4;3;Ompelukone;23,51
23;C;1;4;3;Televisio;8,97
23;C;1;4;3;Langattomat Bluetooth-kuulokkeet;22,12
23;C;1;4;3;Liesituuletin;21,61
23;C;1;4;3;Grilli;2,03
23;D;2;4;2;Päältäajettava ruohonleikkuri;3,10
23;D;2;4;2;Mikroaaltouuni;2,66
23;D;2;4;2;Pyykinpesukone;3,60
23;D;2;4;2;Koripallon pelisäännöt;7,02
23;D;2;4;2;Kuivausrumpu;24,74
23;D;2;4;2;Miekkailu;14,57
23;D;2;4;2;Lämpöpumppu;3,60
23;D;2;4;2;Uuni;12,46
24;A;1;3;2;Generaattori;2,36
24;A;1;3;2;Pöytätenniksen säännöt;1,55
24;A;1;3;2;Ompelukone;23,66
24;A;1;3;2;Kiuas;2,84
24;A;1;3;2;Jalkapallosäännöt;1,76
24;A;1;3;2;Koripallon pelisäännöt;1,93
24;B;2;3;3;Mikroaaltouuni;1,63
24;B;2;3;3;Astianpesukone;2,10
24;B;2;3;3;Painepesuri;14,03
24;B;2;3;3;Uuni;1,67
24;B;2;3;3;Kamiina;1,84
24;B;2;3;3;Pyykinpesukone;1,78
24;C;1;4;1;Lämpöpumppu;2,26
24;C;1;4;1;Miekkailu;2,33
24;C;1;4;1;Arkkupakastin;5,79
24;C;1;4;1;Tenniksen kilpailumääräykset;2,21
24;D;2;4;4;Kuivauskaappi;2,29
24;D;2;4;4;Liesituuletin;2,81
24;D;2;4;4;Taekwondon kilpailusäännöt;1,99
24;D;2;4;4;Langattomat Bluetooth-kuulokkeet;4,14
24;D;2;4;4;Televisio;11,50
24;D;2;4;4;Grilli;42,06
